geography,device_type_code,device_type_description,cpu_util,latency_capacity,avg_price_per_gb,ttl_used,ttl_usable,pct_used,ttl_allocated,client_id,period_id
Unmapped,UNITY_DEVICE,EMC Unity Device,100.0,10.0,1.5,25.14,41.06,61.23,30.56,188,1594
Unmapped,VMAX_DEVICE,EMC VMax Device,100.0,5.0,3.0,135.13,167.37,80.74,135.16,188,1594
Unmapped,COMPELLENT_DEVICE,EMC Compellent Device,200.0,10.0,3.0,590.45,639.14,92.38,590.45,188,1596
Unmapped,SVC_DEVICE,IBM SVC Device,200.0,10.0,1.75,533.46,725.94,73.49,559.66,188,1596
Unmapped,UNITY_DEVICE,EMC Unity Device,100.0,10.0,1.5,25.14,41.06,61.23,30.56,188,1596
Unmapped,VMAX_DEVICE,EMC VMax Device,100.0,5.0,3.0,135.13,167.37,80.74,135.16,188,1596
Unmapped,COMPELLENT_DEVICE,EMC Compellent Device,200.0,10.0,3.0,590.45,639.14,92.38,590.45,188,1599
Unmapped,SVC_DEVICE,IBM SVC Device,200.0,10.0,1.75,533.7,725.93,73.52,560.26,188,1599
Unmapped,UNITY_DEVICE,EMC Unity Device,100.0,10.0,1.5,25.14,41.06,61.23,30.56,188,1599
Unmapped,VMAX_DEVICE,EMC VMax Device,100.0,5.0,3.0,135.13,167.37,80.74,135.16,188,1599
Unmapped,COMPELLENT_DEVICE,EMC Compellent Device,200.0,10.0,3.0,590.45,639.14,92.38,590.45,188,1601
Unmapped,SVC_DEVICE,IBM SVC Device,200.0,10.0,1.75,533.64,725.92,73.51,560.26,188,1601
Unmapped,UNITY_DEVICE,EMC Unity Device,100.0,10.0,1.5,25.14,41.06,61.23,30.56,188,1601
Unmapped,VMAX_DEVICE,EMC VMax Device,100.0,5.0,3.0,135.13,167.37,80.74,135.16,188,1601
Unmapped,COMPELLENT_DEVICE,EMC Compellent Device,200.0,10.0,3.0,590.45,639.14,92.38,590.45,188,1603
