data_center,classification,ttl_latency_capacity,ttl_iops_capacity,ttl_mbsec_capacity,avg_price_per_gb,ttl_used,ttl_usable,pct_used,ttl_allocated,ttl_iops,ttl_latency,client_id,period_id
Backend,SAN,5.0,400000.0,8000.0,3.0,725.58,806.51,89.96,725.61,6136.58,0.0,188,1540
Plano,SAN,6.666666,640000.0,16000.0,1.67,554.04,771.75,71.79,580.49,47239.6,0.78,188,1540
Backend,SAN,5.0,400000.0,8000.0,3.0,725.58,806.51,89.96,725.61,5871.67,0.0,188,1543
Plano,SAN,6.666666,640000.0,16000.0,1.67,553.85,771.75,71.77,580.49,46735.65,0.82,188,1543
Backend,SAN,5.0,400000.0,8000.0,3.0,725.58,806.51,89.96,725.61,7425.17,0.0,188,1545
Plano,SAN,6.666666,640000.0,16000.0,1.67,553.84,771.75,71.76,580.49,41243.16,0.85,188,1545
Backend,SAN,5.0,400000.0,8000.0,3.0,725.58,806.51,89.96,725.61,5872.0,0.0,188,1547
Plano,SAN,6.666666,640000.0,16000.0,1.67,554.08,771.75,71.79,580.49,46217.44,0.83,188,1547
Backend,SAN,5.0,400000.0,8000.0,3.0,725.58,806.51,89.96,725.61,0.0,0.0,188,1550
Plano,SAN,6.666666,640000.0,16000.0,1.67,553.89,766.98,72.22,585.93,41515.4,0.85,188,1550
Backend,SAN,5.0,400000.0,8000.0,3.0,725.58,806.51,89.96,725.61,7032.67,0.0,188,1552
Plano,SAN,6.666666,640000.0,16000.0,1.67,554.19,771.76,71.81,580.49,36165.95,0.91,188,1552
Backend,SAN,5.0,200000.0,4000.0,3.0,590.45,639.14,92.38,590.45,0.0,0.0,188,1554
Plano,SAN,6.666666,640000.0,16000.0,1.67,554.12,771.76,71.8,580.49,46651.25,0.86,188,1554
Backend,SAN,5.0,400000.0,8000.0,3.0,725.58,806.51,89.96,725.61,6340.25,0.0,188,1557
Plano,SAN,6.666666,640000.0,16000.0,1.67,553.95,771.76,71.78,580.49,38610.62,0.78,188,1557
Backend,SAN,5.0,400000.0,8000.0,3.0,725.58,806.51,89.96,725.61,7656.67,0.0,188,1559
Plano,SAN,6.666666,640000.0,16000.0,1.67,553.96,771.76,71.78,580.49,34245.28,0.9,188,1559
Backend,SAN,5.0,400000.0,8000.0,3.0,725.58,806.51,89.96,725.61,6220.42,0.0,188,1561
Plano,SAN,6.666666,640000.0,16000.0,1.67,554.41,771.77,71.84,580.49,40840.15,0.79,188,1561
Backend,SAN,5.0,400000.0,8000.0,3.0,725.58,806.51,89.96,725.61,6012.5,0.0,188,1564
Plano,SAN,6.666666,640000.0,16000.0,1.67,555.31,771.76,71.95,581.24,35547.03,0.94,188,1564
Backend,SAN,5.0,400000.0,8000.0,3.0,725.58,806.51,89.96,725.61,7605.33,0.0,188,1566
Plano,SAN,6.666666,640000.0,16000.0,1.67,555.34,771.76,71.96,581.24,32404.56,0.75,188,1566
Backend,SAN,5.0,400000.0,8000.0,3.0,725.58,806.51,89.96,725.61,6084.08,0.0,188,1568
Plano,SAN,6.666666,640000.0,16000.0,1.67,555.67,767.0,72.45,586.98,39666.3,0.65,188,1568
Backend,SAN,5.0,400000.0,8000.0,3.0,725.58,806.51,89.96,725.61,6173.58,0.0,188,1571
Plano,SAN,6.666666,640000.0,16000.0,1.67,557.31,766.99,72.66,589.36,31442.05,0.63,188,1571
Backend,SAN,5.0,400000.0,8000.0,3.0,725.58,806.51,89.96,725.61,7580.17,0.0,188,1573
Plano,SAN,6.666666,640000.0,16000.0,1.67,557.3,766.99,72.66,589.36,29390.49,0.57,188,1573
Backend,SAN,5.0,400000.0,8000.0,3.0,725.58,806.51,89.96,725.61,5856.67,0.0,188,1575
Plano,SAN,6.666666,640000.0,16000.0,1.67,557.85,766.99,72.73,590.06,35931.98,0.61,188,1575
Backend,SAN,5.0,400000.0,8000.0,3.0,725.58,806.51,89.96,725.61,5324.42,0.0,188,1578
Plano,SAN,6.666666,640000.0,16000.0,1.67,557.99,766.98,72.75,590.06,30089.21,0.57,188,1578
Backend,SAN,5.0,400000.0,8000.0,3.0,725.58,806.51,89.96,725.61,7405.08,0.0,188,1580
Plano,SAN,6.666666,640000.0,16000.0,1.67,557.95,766.98,72.75,590.06,28729.61,0.61,188,1580
Backend,SAN,5.0,400000.0,8000.0,3.0,725.58,806.51,89.96,725.61,4995.33,0.0,188,1582
Plano,SAN,6.666666,640000.0,16000.0,1.67,558.37,767.0,72.8,590.06,35268.43,0.6,188,1582
Backend,SAN,5.0,400000.0,8000.0,3.0,725.58,806.51,89.96,725.61,5578.58,0.0,188,1585
Plano,SAN,6.666666,640000.0,16000.0,1.67,558.14,766.99,72.77,590.21,31518.38,0.61,188,1585
Backend,SAN,5.0,400000.0,8000.0,3.0,725.58,806.51,89.96,725.61,7237.42,0.0,188,1587
Plano,SAN,6.666666,640000.0,16000.0,1.67,558.14,766.98,72.77,590.21,29372.26,0.65,188,1587
Backend,SAN,5.0,400000.0,8000.0,3.0,725.58,806.51,89.96,725.61,5104.42,0.0,188,1589
Plano,SAN,6.666666,640000.0,16000.0,1.67,558.49,766.99,72.82,590.22,36499.25,0.63,188,1589
Backend,SAN,5.0,400000.0,8000.0,3.0,725.58,806.51,89.96,725.61,11020.76,0.0,188,1592
Plano,SAN,6.666666,640000.0,16000.0,1.67,558.15,766.99,72.77,590.22,31399.27,0.61,188,1592
Backend,SAN,5.0,400000.0,8000.0,3.0,725.58,806.51,89.96,725.61,13000.06,0.0,188,1594
