classification,latency,peak_iops,Used,Allocated,Snap,Free,Capacity,Orphaned,collection_date,formatted_collection_date,client_id
DR,0.231356,17534.84,144211.11,0.0,0.0,0.0,0.0,0.0,2019-09-29,09/29/2019,137
Prod-iSeries,1.59,9632.38,153694.26,0.0,0.0,0.0,0.0,0.0,2019-09-29,09/29/2019,137
Prod-Open,0.0,43953.72,149485.99,0.0,0.0,0.0,0.0,0.0,2019-09-29,09/29/2019,137
DR,0.181402,18422.24,141465.08,0.0,0.0,0.0,0.0,0.0,2019-10-06,10/06/2019,137
Prod-iSeries,1.63,12070.05,153505.91,0.0,0.0,0.0,0.0,0.0,2019-10-06,10/06/2019,137
DR,0.403306,23547.0,142318.3,0.0,0.0,0.0,0.0,0.0,2019-10-13,10/13/2019,137
Prod-iSeries,0.64,19095.42,153556.69,0.0,0.0,0.0,0.0,0.0,2019-10-13,10/13/2019,137
Prod-Open,0.0,40689.43,150255.17,0.0,0.0,0.0,0.0,0.0,2019-10-13,10/13/2019,137
DR,0.168912,18235.24,140514.96,0.0,0.0,0.0,0.0,0.0,2019-10-20,10/20/2019,137
Prod-iSeries,0.93,12317.78,153434.99,0.0,0.0,0.0,0.0,0.0,2019-10-20,10/20/2019,137
Prod-Open,0.0,40335.49,150092.02,0.0,0.0,0.0,0.0,0.0,2019-10-20,10/20/2019,137
DR,0.20837,19462.42,140782.2,0.0,0.0,0.0,0.0,0.0,2019-10-27,10/27/2019,137
Prod-iSeries,1.29,10069.71,153495.03,0.0,0.0,0.0,0.0,0.0,2019-10-27,10/27/2019,137
Prod-Open,0.0,39093.67,150124.94,0.0,0.0,0.0,0.0,0.0,2019-10-27,10/27/2019,137
DR,0.226176,22462.82,141893.74,0.0,0.0,0.0,0.0,0.0,2019-11-03,11/03/2019,137
Prod-iSeries,1.19,17190.64,154041.9,0.0,0.0,0.0,0.0,0.0,2019-11-03,11/03/2019,137
Prod-Open,0.0,40742.6,152180.85,0.0,0.0,0.0,0.0,0.0,2019-11-03,11/03/2019,137
DR,0.187684,23578.28,142830.62,0.0,0.0,0.0,0.0,0.0,2019-11-10,11/10/2019,137
Prod-iSeries,1.37,18483.27,153961.02,0.0,0.0,0.0,0.0,0.0,2019-11-10,11/10/2019,137
Prod-Open,0.0,42202.72,152606.62,0.0,0.0,0.0,0.0,0.0,2019-11-10,11/10/2019,137
DR,0.22264,24343.32,142086.8,0.0,0.0,0.0,0.0,0.0,2019-11-17,11/17/2019,137
Prod-iSeries,1.41,16368.01,154082.22,0.0,0.0,0.0,0.0,0.0,2019-11-17,11/17/2019,137
Prod-Open,0.0,43513.17,152916.72,0.0,0.0,0.0,0.0,0.0,2019-11-17,11/17/2019,137
DR,0.18266,18629.72,142865.87,0.0,0.0,0.0,0.0,0.0,2019-11-24,11/24/2019,137
Prod-iSeries,1.0,12446.76,154236.92,0.0,0.0,0.0,0.0,0.0,2019-11-24,11/24/2019,137
Prod-Open,0.0,43419.52,153706.3,0.0,0.0,0.0,0.0,0.0,2019-11-24,11/24/2019,137
DR,0.204866,21075.88,144696.71,0.0,0.0,0.0,0.0,0.0,2019-12-01,12/01/2019,137
Prod-iSeries,1.45,11859.47,154047.3,0.0,0.0,0.0,0.0,0.0,2019-12-01,12/01/2019,137
Prod-Open,0.0,46868.47,149956.11,0.0,0.0,0.0,0.0,0.0,2019-12-01,12/01/2019,137
DR,0.228132,18236.74,143445.46,0.0,0.0,0.0,0.0,0.0,2019-12-08,12/08/2019,137
Prod-iSeries,1.3,8433.68,153787.13,0.0,0.0,0.0,0.0,0.0,2019-12-08,12/08/2019,137
Prod-Open,0.0,32573.38,152349.95,0.0,0.0,0.0,0.0,0.0,2019-12-08,12/08/2019,137
DR,0.18,19003.6,143796.69,0.0,0.0,0.0,0.0,0.0,2019-12-15,12/15/2019,137
Prod-iSeries,1.17,15518.65,154229.23,0.0,0.0,0.0,0.0,0.0,2019-12-15,12/15/2019,137
Prod-Open,0.0,31508.54,151452.23,0.0,0.0,0.0,0.0,0.0,2019-12-15,12/15/2019,137
DR,0.204254,23881.5,141074.16,0.0,0.0,0.0,0.0,0.0,2019-12-22,12/22/2019,137
Prod-iSeries,1.84,22140.74,154201.65,0.0,0.0,0.0,0.0,0.0,2019-12-22,12/22/2019,137
Prod-Open,0.0,31204.19,152879.53,0.0,0.0,0.0,0.0,0.0,2019-12-22,12/22/2019,137
DR,0.105992,4648.62,141488.72,0.0,0.0,0.0,0.0,0.0,2019-12-29,12/29/2019,137
Prod-iSeries,1.05,4080.91,153448.94,0.0,0.0,0.0,0.0,0.0,2019-12-29,12/29/2019,137
Prod-Open,0.0,28904.82,153084.46,0.0,0.0,0.0,0.0,0.0,2019-12-29,12/29/2019,137
